Car_Brand,Car_Name,Price,Diesel/Petrol,Mileage,Type
Mercedes,Mustang,3946635.0,Diesel,17.03,Convertible
Kia,Camry,526363.0,Diesel,15.89,Coupe
Mercedes,Camry,1005789.0,Petrol,19.86,Coupe
BMW,C-Class,2227334.0,Diesel,14.73,SUV
Hyundai,Altima,3516431.0,Petrol,24.6,Coupe
Nissan,Mustang,2247063.0,Diesel,10.95,SUV
Audi,Corvette,2830652.0,Diesel,18.38,Hatchback
BMW,C-Class,2313657.0,Petrol,8.8,Sedan
Nissan,C-Class,922176.0,Petrol,12.61,SUV
Nissan,Camry,1283546.0,Diesel,13.81,Sedan
Chevrolet,Civic,3097677.0,Diesel,23.31,SUV
BMW,Camry,4134377.0,Petrol,11.79,Pickup
Kia,Elantra,728752.0,Diesel,23.02,Convertible
Nissan,Civic,2930476.0,Petrol,17.38,Hatchback
Nissan,C-Class,4026183.0,Diesel,16.63,Coupe
Toyota,A4,4953664.0,Diesel,13.9,SUV
Ford,Civic,4202606.0,Diesel,22.51,Hatchback
Audi,Elantra,3757779.0,Petrol,14.71,Convertible
Kia,Corvette,1190188.0,Petrol,8.84,Hatchback
Toyota,C-Class,1108943.0,Petrol,17.31,Sedan
BMW,Altima,930254.0,Petrol,18.63,Convertible
Kia,Camry,1124688.0,Petrol,10.58,SUV
Nissan,Civic,1474518.0,Diesel,12.45,Pickup
Kia,A4,3374968.0,Diesel,23.69,Hatchback
Ford,Camry,1699806.0,Diesel,19.22,Coupe
BMW,A4,3029012.0,Petrol,15.8,Sedan
Honda,Altima,3060083.0,Diesel,16.9,Sedan
BMW,Civic,3494609.0,Petrol,22.57,Convertible
Toyota,Altima,720998.0,Petrol,12.1,Hatchback
Audi,Altima,1962357.0,Diesel,8.93,Pickup
Toyota,C-Class,1632334.0,Petrol,23.14,Hatchback
Toyota,Sportage,2908514.0,Petrol,8.86,Convertible
BMW,Sportage,4129866.0,Petrol,8.08,SUV
Mercedes,Sportage,4526819.0,Petrol,23.11,Convertible
Ford,Elantra,2280439.0,Diesel,24.63,Sedan
Nissan,Mustang,4979980.0,Diesel,10.65,Sedan
Mercedes,Model X,2956186.0,Petrol,16.08,SUV
Kia,Altima,2521127.0,Diesel,10.32,Pickup
BMW,A4,3894597.0,Petrol,22.83,Pickup
BMW,Corvette,1961652.0,Diesel,18.89,SUV
