Car_Brand,Car_Name,Price,Diesel/Petrol,Mileage,Type
Mercedes,Mustang,3946635,Diesel,17.03,Convertible
Kia,Camry,526363,Diesel,15.89,Coupe
Mercedes,Camry,1005789,Petrol,19.86,Coupe
BMW,C-Class,2227334,Diesel,14.73,SUV
Hyundai,Altima,3516431,Petrol,24.6,Coupe
Nissan,Mustang,2247063,Diesel,10.95,SUV
Audi,Corvette,2830652,Diesel,18.38,Hatchback
BMW,C-Class,2313657,Petrol,8.8,Sedan
Nissan,C-Class,922176,Petrol,12.61,SUV
Nissan,Camry,1283546,Diesel,13.81,Sedan
Chevrolet,Civic,3097677,Diesel,23.31,SUV
BMW,Camry,4134377,Petrol,11.79,Pickup
Kia,Elantra,728752,Diesel,23.02,Convertible
Nissan,Civic,2930476,Petrol,17.38,Hatchback
Nissan,C-Class,4026183,Diesel,16.63,Coupe
Toyota,A4,4953664,Diesel,13.9,SUV
Ford,Civic,4202606,Diesel,22.51,Hatchback
Audi,Elantra,3757779,Petrol,14.71,Convertible
Kia,Corvette,1190188,Petrol,8.84,Hatchback
Toyota,C-Class,1108943,Petrol,17.31,Sedan
BMW,Altima,930254,Petrol,18.63,Convertible
Kia,Camry,1124688,Petrol,10.58,SUV
Nissan,Civic,1474518,Diesel,12.45,Pickup
Kia,A4,3374968,Diesel,23.69,Hatchback
Ford,Camry,1699806,Diesel,19.22,Coupe
BMW,A4,3029012,Petrol,15.8,Sedan
Honda,Altima,3060083,Diesel,16.9,Sedan
BMW,Civic,3494609,Petrol,22.57,Convertible
Toyota,Altima,720998,Petrol,12.1,Hatchback
Audi,Altima,1962357,Diesel,8.93,Pickup
Toyota,C-Class,1632334,Petrol,23.14,Hatchback
Toyota,Sportage,2908514,Petrol,8.86,Convertible
BMW,Sportage,4129866,Petrol,8.08,SUV
Mercedes,Sportage,4526819,Petrol,23.11,Convertible
Ford,Elantra,2280439,Diesel,24.63,Sedan
Nissan,Mustang,4979980,Diesel,10.65,Sedan
Mercedes,Model X,2956186,Petrol,16.08,SUV
Kia,Altima,2521127,Diesel,10.32,Pickup
BMW,A4,3894597,Petrol,22.83,Pickup
BMW,Corvette,1961652,Diesel,18.89,SUV
Honda,Civic,1582068,Petrol,11.73,Pickup
Ford,Civic,4617467,Diesel,21.03,Coupe
Hyundai,A4,885404,Petrol,23.0,Sedan
Mercedes,C-Class,3510118,Diesel,20.91,Hatchback
BMW,Altima,3981250,Petrol,13.14,Convertible
Toyota,Camry,4103664,Petrol,12.15,Convertible
Audi,Civic,4372906,Diesel,23.76,Coupe
Toyota,Civic,1033679,Petrol,20.84,Pickup
Chevrolet,C-Class,1087017,Petrol,11.58,Convertible
Kia,Corvette,1671593,Petrol,22.06,Hatchback
Hyundai,Elantra,3877408,Diesel,16.08,Convertible
Ford,Elantra,567347,Petrol,13.17,Hatchback
Nissan,Camry,2651624,Petrol,17.27,SUV
Toyota,Sportage,2555000,Diesel,11.25,Coupe
