temperature,rainfall,humidity
44.97,25.79,60.28
89.98,68.89,46.56
86.53,30.24,74.74
62.13,93.51,33.64
53.8,88.4,69.71
59.21,70.27,86.76
52.12,81.74,53.92
86.07,80.61,46.94
61.64,68.71,73.75
64.49,39.64,77.97
69.64,70.58,41.13
75.11,58.23,72.25
41.65,92.39,42.4
77.99,21.9,78.82
84.77,76.59,63.06
72.85,76.53,42.92
86.36,55.72,42.89
69.19,42.92,31.2
78.4,30.34,48.04
55.6,64.56,86.66
41.73,64.34,69.21
27.28,31.45,47.74
73.08,47.81,65.62
51.11,86.99,32.91
39.67,95.09,42.18
55.16,26.8,97.63
60.67,86.29,63.37
80.26,74.21,72.42
74.64,89.81,90.29
41.95,91.76,57.55
71.5,85.2,65.81
65.46,70.1,50.07
64.18,73.24,31.25
63.68,91.88,61.41
79.43,31.58,58.94
63.32,36.43,43.34
68.04,92.64,85.36
83.21,29.65,86.84
25.54,26.76,73.29
72.86,82.15,72.5
61.38,22.75,68.09
30.71,62.89,58.87
80.55,20.48,75.08
67.94,77.19,91.47
34.66,82.91,32.13
33.25,88.35,42.3
71.13,57.26,44.78
64.64,27.55,70.24
52.3,69.1,33.72
42.72,56.62,91.32
85.75,46.52,45.38
38.55,51.37,56.46
70.14,43.73,51.64
36.3,47.78,39.92
40.15,32.35,65.34
72.03,74.11,69.83
73.3,44.8,41.13
76.71,60.53,81.8
68.62,78.67,95.36
52.84,42.53,89.35
73.16,47.26,65.81
66.07,30.15,34.94
54.47,84.81,52.42
56.06,55.74,80.33
52.9,86.95,69.85
70.19,24.4,87.11
65.22,33.02,59.73
61.47,94.85,30.94
27.52,56.6,79.67
30.98,70.75,53.35
39.97,57.63,56.43
64.4,63.01,82.08
31.68,65.8,77.04
36.81,36.22,42.71
44.99,91.5,50.27
40.55,66.86,79.95
62.81,44.61,39.01
30.17,72.98,59.51
83.17,37.21,67.11
50.57,53.58,33.97
37.85,55.71,34.16
80.67,95.3,92.95
33.79,57.52,77.2
32.83,39.42,51.41
51.54,86.48,54.37
46.61,47.63,49.34
63.29,79.25,68.88
72.07,23.13,97.34
46.53,38.38,44.09
77.74,82.27,88.77
31.31,72.3,69.07
60.94,29.4,62.57
73.96,58.71,35.2
74.3,75.95,33.2
61.47,68.06,53.03
86.78,25.62,72.39
60.46,52.19,96.01
73.42,68.27,78.28
50.61,37.58,62.53
68.65,62.33,53.99
49.8,42.66,29.64
46.49,87.47,92.04
65.14,21.4,91.31
60.24,38.83,89.44
44.25,53.21,85.42
36.7,78.27,30.0
79.15,83.92,48.49
25.79,38.42,29.91
73.62,34.93,47.22
64.08,40.79,35.37
42.4,73.81,65.8
81.26,93.92,94.78
73.38,35.28,80.34
78.56,28.81,34.58
36.78,78.99,98.06
72.34,63.76,84.0
46.33,82.37,50.07
37.47,43.99,76.64
54.24,49.76,98.21
58.05,75.34,68.01
76.32,70.2,96.26
36.86,82.19,69.89
77.09,59.95,67.79
67.69,36.16,36.69
36.15,36.59,50.74
45.1,75.81,38.55
69.81,21.95,89.01
41.74,27.45,29.12
37.77,32.26,91.36
70.9,57.91,97.95
41.31,51.29,32.46
62.18,41.73,48.83
48.35,59.76,67.64
35.94,71.35,28.45
60.9,26.14,80.9
35.7,35.89,75.2
44.84,48.42,47.6
39.92,53.5,98.48
81.19,87.8,63.12
49.62,43.93,87.58
25.22,69.36,88.12
46.47,80.35,57.43
61.75,87.32,46.94
37.22,62.84,81.5
32.25,88.88,65.26
58.77,40.39,70.42
85.56,70.38,36.25
61.76,46.89,48.92
46.54,25.8,68.79
56.56,51.64,83.54
55.5,20.43,61.84
57.07,37.57,56.54
52.81,71.4,37.44
35.59,76.18,60.29
88.61,63.91,36.92
61.54,75.68,73.41
30.21,66.66,41.0
32.43,90.08,46.16
40.48,84.86,76.63
29.03,59.08,78.95
44.72,35.98,62.64
49.02,38.43,50.44
74.21,37.1,78.74
38.72,94.17,51.88
60.21,91.14,52.13
77.73,20.87,35.65
79.18,48.21,29.98
46.09,57.17,98.06
33.94,57.96,66.09
46.19,21.42,63.3
70.05,32.06,53.77
74.31,39.12,68.45
73.79,69.68,74.42
