amount,duration,rate,down_payment
431840,11,6.22,37396
394278,23,3.02,3278
339930,57,3.46,17002
343479,29,9.45,3353
443019,25,2.14,23866
41996,34,3.28,31997
468381,40,2.59,1681
386437,54,6.44,8016
459304,14,6.82,49588
64077,51,7.69,9884
199348,27,5.22,2942
138104,53,6.91,49964
32107,60,2.18,18757
87804,7,9.79,3165
321609,27,7.73,20786
162831,53,5.91,46571
170657,58,2.06,6705
78469,55,5.06,11189
157647,45,6.05,41270
476602,26,2.07,11168
470327,14,4.25,2713
74370,23,3.75,16305
136866,49,2.88,2712
454268,46,8.45,27703
160329,51,2.02,7152
120793,6,5.08,45665
385793,9,4.98,47287
234679,31,3.22,20635
49191,8,8.75,28650
419102,29,7.36,30754
241823,42,4.29,34218
61259,38,4.21,1403
168699,37,5.61,5064
381920,53,9.35,44308
227776,45,6.85,12241
337469,6,6.51,3664
265391,11,3.49,13298
272701,23,8.99,28496
465043,52,8.25,2461
262713,33,7.97,36277
463079,17,4.2,4974
72856,58,4.59,27794
491808,47,2.64,23507
121214,39,9.39,15795
148829,24,9.33,15253
153535,8,4.3,3825
306885,57,9.52,12125
195487,15,5.44,26723
148422,25,3.45,46906
98435,48,5.33,5871
112467,27,9.5,41028
69129,27,8.18,12848
119062,57,4.6,34739
63327,26,7.63,9962
209571,29,4.36,2295
230423,31,8.49,46264
279984,57,9.93,11155
388486,25,5.38,39403
260359,46,9.34,30255
486583,7,9.72,40769
482517,50,9.24,36616
199468,24,8.77,46431
40210,22,2.21,4963
404928,28,2.25,26521
127990,58,8.55,46851
193233,37,6.88,12171
298950,38,2.16,40626
102729,40,8.12,37126
338345,35,7.89,7169
490001,41,7.69,46863
399774,22,9.13,16283
403298,53,9.76,19489
137020,41,8.32,4948
432658,25,9.93,13782
412985,13,4.2,45237
209813,36,7.51,39903
72914,55,9.4,25267
338375,17,4.83,13814
23388,11,6.7,22811
479124,11,7.95,5706
275126,16,9.66,47642
111496,22,6.43,29355
122244,23,6.09,20358
175083,29,5.65,34549
320893,50,6.15,2546
374561,52,8.92,46565
85640,12,6.62,37199
145857,24,9.11,44592
275005,12,4.94,13708
366253,57,7.23,2285
235747,36,8.87,9301
446329,23,5.4,41862
214515,22,9.07,6304
462096,31,9.03,49721
225002,21,7.27,1418
333921,20,5.38,34705
344067,13,3.94,7197
125706,31,3.77,42011
264728,9,9.49,17590
395074,28,2.16,27178
215441,36,7.48,24092
85788,15,6.17,25938
419373,54,3.11,30609
338937,57,9.91,35439
473692,8,4.75,30296
370671,20,4.71,6583
343329,23,4.64,9809
198591,24,7.34,1937
388049,15,7.06,48549
112549,19,3.58,41615
154528,60,6.31,47517
233032,21,5.97,6015
274411,39,6.37,34439
99735,56,4.39,15690
83546,14,9.48,20627
83911,10,9.99,39631
151183,28,6.87,19240
19688,33,4.57,17049
94830,11,7.12,14732
29505,47,4.05,9974
83004,24,9.55,33329
377607,60,7.94,43444
365189,17,3.74,19472
287520,57,7.56,10869
308736,13,8.36,25301
409329,48,4.46,10618
123324,51,5.69,7098
74626,60,9.57,36901
476878,27,5.46,33845
427156,45,6.93,7884
376811,53,7.97,23010
475826,30,4.68,36260
124959,42,4.7,15014
80451,54,4.97,23562
267348,47,8.43,23984
162407,33,9.27,16530
153363,14,2.98,33511
133107,43,6.49,36938
53425,49,4.91,7419
119199,33,4.09,2612
444775,46,9.85,11316
358134,29,6.9,43683
92593,57,7.93,12800
383549,38,6.6,40500
435975,20,3.75,3849
325625,55,9.29,32183
132441,20,6.95,44011
150087,50,6.54,30461
242453,7,3.54,42297
164476,39,3.6,35035
190391,18,9.23,18390
435939,8,2.07,15107
257572,41,8.07,21753
454921,45,5.74,48590
304454,6,3.08,48641
340313,53,8.02,12351
330177,19,3.58,1072
186131,51,2.12,36386
118619,23,8.82,30700
127519,24,5.23,4583
135257,30,2.55,24430
262380,17,8.57,24767
386006,40,3.43,37164
78112,13,4.21,20669
54064,31,2.92,14919
179199,56,5.71,34795
326672,18,4.71,6855
249842,7,7.5,31583
50217,17,5.03,2375
102267,60,6.1,10454
206767,17,4.68,28456
355403,6,5.06,44878
482771,6,8.28,6580
415750,19,5.52,27801
180282,6,5.59,19110
464589,37,3.64,49148
268326,46,5.36,1195
376183,52,9.44,29752
158262,6,2.17,6845
374266,34,8.57,7185
42083,30,8.66,45165
369579,30,9.65,47900
103689,15,2.92,22284
163134,21,8.25,28110
202926,31,5.94,6093
76674,16,8.96,34538
138549,60,3.3,29353
384354,33,5.49,19604
334384,35,7.36,9506
285142,44,7.33,47347
157289,54,3.79,8346
498456,49,2.85,41457
196459,12,6.68,26199
95115,59,8.63,33909
393884,37,9.52,16958
252968,55,5.94,29197
397368,38,7.71,20947
293744,50,2.31,24758
264236,38,5.09,15001
25997,12,4.87,43652
